InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,TotalPrice,PaymentMethod,StoreID,ProductCategory,EmployeeID,PromotionCode
DPZIAH,XTNRA,MNSXPAKRHPQIYOIGUAXG,231,01/25/2023 03:28,74.8,16324.0,Netherlands,0.31,395.87,Credit Card,Store_B,Category_B,QSITB,XZXAV
WVYYLJ,TVUJT,NWHUVLXZMRZLOIAHAMQQ,656,01/04/2023 16:47,21.82,16661.0,Netherlands,0.1,145.26,Credit Card,Store_C,Category_B,CFJIR,AXPEP
VHJHCI,THXNV,EAFIVMBTYVFXQIMGRKTO,424,06/29/2023 03:26,0.37,15029.0,Netherlands,0.15,346.54,Cash,Store_C,Category_A,MUIJG,VRFIF
,XZTTD,,496,08/26/2023 04:24,38.27,10492.0,France,0.35,64.46,Cash,Store_C,Category_C,DNCMJ,NMHNO
KVPXYI,QKCMJ,,464,03/05/2023 11:30,0.81,13261.0,United Kingdom,0.47,114.79,Cash,Store_A,Category_C,SHEYR,QCGDO
KDBWSZ,INMDM,GXKGBEBWNKITVTNPUPNE,882,08/28/2023 05:19,787.52,13257.0,Netherlands,0.0,437.13,Online,Store_A,Category_C,KZGFQ,WILAP
NQOCXK,QHKSX,,1876,07/05/2023 09:51,62.61,,Germany,0.05,476.53,Cash,Store_C,Category_A,UHSFE,SANNQ
DGAAAS,VZOCI,PGVDISRJTWTVIMHIHJIR,692,11/26/2023 00:45,66.01,18187.0,Belgium,0.43,415.45,Cash,Store_B,Category_A,ZNMQI,GANNM
RETXQB,QBFEV,TJIILJQQUUBPKLPZUXNL,273,10/23/2023 12:40,63.0,15272.0,United Kingdom,0.27,29.98,Credit Card,Store_B,Category_A,NLJRZ,IJSVE
LDFVAW,,LMLDACIYDEEVCZCNZOVN,3007,10/11/2023 15:51,42.19,,Belgium,0.4,461.03,Online,Store_A,Category_A,DXGMV,AXPRJ
SCIADI,LKDEG,,642,01/26/2023 21:27,50.95,19613.0,Netherlands,0.25,202.04,Online,Store_B,Category_A,ANPYK,KHPSR
PVIXJT,UNIVX,PWWVQPRBPMKFFIATSBLU,541,02/22/2023 00:01,20.63,13571.0,United Kingdom,0.03,33.46,Cash,Store_A,Category_C,,ZYVCF
ZDXWZY,JRIIZ,DSIWHJFHJNOOXQOYXEDH,861,09/20/2023 14:02,51.87,14713.0,United Kingdom,0.26,379.23,Cash,Store_A,Category_A,VEMXE,BWCDZ
ITSJBJ,CPMVC,ZPFACQGWRTWMUQZHLRLK,870,03/18/2023 12:19,1.2,13828.0,Germany,0.33,12.78,Credit Card,Store_C,Category_A,WJXYJ,YWFLP
ACURUQ,ZBQGX,,355,10/21/2023 21:21,96.19,18870.0,Germany,0.28,385.24,Online,Store_B,Category_C,HHWDS,XHTXG
DPLKCX,RKTPN,WNYTHVEGCITDKXTCTHHZ,711,12/07/2023 06:10,9.2,17723.0,Belgium,0.22,277.08,Online,Store_B,Category_B,DOACX,UYFPY
MSSCVF,MHUVY,VFSWTVIXSSJKRHFOQPYP,549,09/15/2023 20:03,14.66,13818.0,France,0.39,421.14,Online,Store_C,Category_A,IDXTP,SCJCZ
PKUWVF,LXYKO,,21,12/22/2023 23:21,85.0,15184.0,Belgium,0.44,442.08,Cash,Store_A,Category_C,,LKMDD
XKPVND,BQNOQ,QGBTCWKZSOOTKQRBWCZP,523,07/11/2023 08:09,56.33,18332.0,Netherlands,0.47,216.46,Cash,Store_A,Category_C,FAXKA,GICWS
LFPSLN,KIWPM,KVWUZGNENGWTPXFXJTUO,406,08/21/2023 17:50,50.04,,United Kingdom,0.32,118.56,Cash,Store_B,Category_B,FJQTZ,NLZAA
DENMKK,KTOSE,XPXZBSSXULBZYQTGBJXN,461,06/19/2023 15:42,48.4,14794.0,France,0.38,316.31,Cash,Store_A,Category_C,IVPSX,LCCLY
FXYSWH,,MDLNHFTYLKHOEATOPCBY,10,06/16/2023 13:26,26.84,11507.0,Belgium,0.17,115.22,Cash,Store_C,Category_C,SBGZU,ENCXX
WHZHYF,CLQXG,WDTTRAKMRDKVIJGCMOFI,68,03/30/2023 15:00,27.22,,Belgium,0.31,99.12,Cash,Store_A,Category_A,JUZVN,HWSWZ
SQRBJP,OPZBO,LYMTQNOJMVGZSAHSDKQH,815,01/13/2023 22:16,50.02,14135.0,Germany,0.15,96.29,Cash,Store_C,Category_A,JVRHU,IXOAH
BYBUWZ,UMEYF,VAUTXHTBTFBNTCBIIRKA,258,09/11/2023 14:20,45.29,14779.0,Germany,0.1,18.17,Credit Card,Store_B,Category_A,KJHTI,IUIVZ
MCRUEW,UMWOU,LAKHPRYCTNXPMPTPPSTO,3264,09/04/2023 00:27,355.97,18483.0,Germany,0.08,218.54,Online,Store_A,Category_B,PCQVJ,ZIIAO
AXKXTU,VZZUY,WRZEYIBTYGJEHYAYSPKT,581,05/07/2023 19:05,91.12,14377.0,United Kingdom,0.43,276.95,Credit Card,Store_B,Category_B,XCVPR,THPHL
YFNPBN,EXHAK,,809,02/18/2023 19:36,49.05,19276.0,Netherlands,0.37,454.59,Online,Store_A,Category_C,NSWDS,HVHQX
WEAZFD,RQJTT,,838,08/06/2023 17:39,59.43,14571.0,Netherlands,0.44,96.79,Online,Store_A,Category_A,OOTZK,TGPMI
WIGIVB,ECDRC,FHBXDDFRNITPTZCFPCDS,641,09/05/2023 08:59,79.35,11790.0,Netherlands,0.46,219.16,Credit Card,Store_B,Category_A,KSECJ,ZXLSD
UYQUPE,MALRA,HDFLCCBRGQCYGNRKJXYE,465,06/12/2023 15:41,60.84,13993.0,Belgium,0.4,433.62,Online,Store_C,Category_B,ZTRLE,EVOJR
BBITXP,ZJSFE,TOSYVNAFVIWSYTOZWZZP,335,01/02/2023 23:49,52.55,,France,0.05,336.32,Online,Store_B,Category_A,NUCRD,WYKUW
EWNTTM,IDJQK,WYAZNIGKBHHSVZRCUPHO,1512,01/21/2023 09:05,32.82,17686.0,Germany,0.06,26.64,Online,Store_C,Category_A,RUGJR,RKYYO
,EHRUZ,IRNRMRFTEWCZSALVVCPE,872,05/03/2023 11:33,56.39,19256.0,Germany,0.09,224.34,Online,Store_C,Category_A,MRDGZ,FKFDC
CABZZV,DFKIE,SKVVNDBKCDIIYFZJRZQE,806,01/03/2023 12:01,36.95,12656.0,Germany,0.31,312.75,Online,Store_A,Category_B,ETXHR,PUWOO
QFSBEA,KNFYV,AENTWDKCMRLDKUEGGLVV,497,04/09/2023 00:20,37.01,18710.0,Germany,0.28,240.82,Credit Card,Store_C,Category_B,,CXHIE
PWFTZH,CCFOY,YNGUZRFPWZMYRWHHSIKR,138,08/03/2023 13:37,58.77,11574.0,United Kingdom,0.01,282.77,Online,Store_B,Category_A,PCXTI,
RZDYXG,ZIAUN,NCPSHKSKFUZOQZOYHIJD,556,02/11/2023 03:13,27.52,13958.0,Netherlands,0.44,313.93,Cash,Store_C,Category_B,PYZOW,ZEOST
TXZFBS,KYHES,YOASMGKXFTEDNISJGHBT,967,08/20/2023 01:04,99.44,16737.0,United Kingdom,0.04,154.4,Online,Store_C,Category_B,VOXSH,
ACXCZX,PKXTF,UPRZQGDKCHYPUXTPPSYQ,159,05/01/2023 18:15,4.34,13578.0,Belgium,0.02,373.11,Cash,Store_C,Category_C,MDKKE,JHOWZ
VRAFQD,,NBXYNMXNPZQEUOHNCGKU,669,03/23/2023 20:39,67.39,18834.0,Belgium,0.25,109.82,Credit Card,Store_A,Category_B,LZOMT,
SAREII,,WXQWBAVRRKZOXCHXHDBS,249,03/30/2023 17:58,59.07,14199.0,France,0.12,19.4,Credit Card,Store_C,Category_A,TUIAL,UKGHE
,IBCAQ,RXJHWCSGBNPVZWXGRVZI,623,09/18/2023 13:52,0.16,18146.0,Germany,0.31,368.32,Cash,Store_A,Category_C,SDIAL,ZDEMW
TNDUYR,KMEBC,LIFBDUBFFKQYZSAGXVFA,430,09/19/2023 02:17,51.97,15204.0,Germany,0.2,471.6,Cash,Store_C,Category_A,LMAKX,INTMW
EZDFOL,XKKUB,VRLAMWFIVBAGXLFARLOP,2912,07/19/2023 03:07,63.78,,Netherlands,0.19,21.81,Credit Card,Store_A,Category_B,AFGFD,LKLSX
CTKXSI,GUQCC,DMMTSXWBEPCWIPKJRUKN,787,05/18/2023 23:00,80.72,14023.0,United Kingdom,0.09,246.87,Online,Store_A,Category_B,RZGHE,DMKXG
RZOZUL,HLDHD,,2071,10/11/2023 13:29,95.17,17323.0,Netherlands,0.32,398.71,Credit Card,Store_B,Category_B,EXXKO,
YDDWHK,QIZCX,OKAEGINMWZMLGJFPEWNX,309,06/09/2023 11:24,91.92,13348.0,Belgium,0.04,415.86,Online,Store_C,Category_A,NYIJM,LTDPH
MVBEAA,QVNBY,CXGNNGNZPOMHVZXAJOZJ,418,11/24/2023 13:52,20.94,12654.0,Netherlands,0.37,148.77,Cash,Store_B,Category_B,WUIGC,ELWNN
ZRCCAN,MXSNR,AYXIVMIBJAMNDBHACCXZ,850,08/27/2023 18:33,92.62,18785.0,Germany,0.26,228.82,Online,Store_C,Category_A,BFJVF,ZLENU
HIFZDC,MZJAU,CMUCLZROOWLTTEULLNST,570,08/04/2023 01:01,3.88,12779.0,Germany,0.41,310.29,Credit Card,Store_A,Category_B,VCDNR,BEQPQ
FNHMXH,CNKVT,PRPBTEMRFAKFYVEMCVTV,707,11/04/2023 18:26,41.7,18284.0,Belgium,0.11,126.22,Online,Store_C,Category_C,EGNKI,UWHRI
DQRWJQ,,YOTVHKYTDVAHSJJEPODP,644,03/25/2023 00:31,81.19,19312.0,Belgium,0.26,246.69,Credit Card,Store_B,Category_B,EZDST,BFOMK
CBWKGH,,DWONTVFXPESMMUUUYXBZ,967,03/25/2023 19:58,42.32,,Germany,0.01,354.02,Cash,Store_B,Category_C,DUTQZ,SRYZW
IIIZCU,IAHIN,,169,08/29/2023 05:00,39.55,14523.0,United Kingdom,0.08,57.71,Online,Store_B,Category_B,LFHEA,TPXSG
LXVIBE,SZHWO,OVHXULXUJAEFOFMYICFK,519,05/19/2023 16:40,56.51,11739.0,France,0.18,359.54,Cash,Store_A,Category_B,IGLBQ,OGHXO
,AGLHP,NPKOSBJYZAVRRFCSOABI,62,02/19/2023 09:30,40.85,11534.0,United Kingdom,0.42,68.41,Credit Card,Store_A,Category_C,VFUGA,DVQKQ
,BUICE,BCQWPGEAWYEJOJBURRYN,531,11/08/2023 22:15,91.85,14752.0,United Kingdom,0.15,392.98,Credit Card,Store_C,Category_C,ORMDL,WATAC
FUNDMZ,,INXMYHTOGDKMYCWEPTBA,8,10/22/2023 10:25,10.49,17863.0,Netherlands,0.37,317.35,Cash,Store_B,Category_C,JEDYV,PYQNU
,VNDLC,ITTMZTIWXDONRVRKGPVV,238,08/12/2023 09:55,37.2,17790.0,Belgium,0.5,68.0,Cash,Store_A,Category_B,QXJGB,SDOLZ
UPJCLT,JIALT,QZEZJMEQKWQMIXGRVZQC,706,10/14/2023 08:09,17.51,,France,0.26,68.01,Credit Card,Store_B,Category_C,POJTG,VFAXH
HLKNSJ,JJRNI,ZPZBSMWIYLJAQRVAAVNK,954,01/18/2023 12:48,14.67,12066.0,France,0.01,269.63,Online,Store_B,Category_A,XMSDE,CWQIL
,OBLUJ,GOEYFNXLOWGUNSUMCCXA,43,02/01/2023 11:00,22.66,15720.0,Germany,0.38,1.79,Cash,Store_A,Category_B,SIVHI,JYLNK
YFCLDM,ORAAR,FIAXAVUTCDCYIDKVNNFZ,344,11/22/2023 03:26,50.92,16915.0,France,0.35,60.16,Online,Store_A,Category_B,KRJNM,LIOHA
UWFVRE,IHXGH,,3154,09/18/2023 17:33,29.83,18400.0,Netherlands,0.17,299.98,Online,Store_C,Category_B,,JCATW
KPCQLL,BCBOZ,,768,01/15/2023 07:33,92.35,18299.0,Netherlands,0.2,373.11,Cash,Store_B,Category_C,JMMSU,MYKZF
NXPLSM,VPCJX,QDSZJBFXYTKZWUVLTMPT,119,02/27/2023 09:18,38.54,19077.0,Germany,0.02,203.55,Online,Store_B,Category_B,,PACJW
FHZGCX,MBLNZ,CICUHTJVGWBFKRXOIOLE,889,11/23/2023 10:11,86.05,13573.0,United Kingdom,0.36,54.06,Cash,Store_A,Category_A,NBLJH,
TJIXVP,GKMRS,UEWKIVUKRAHXLXCVQQVT,525,04/21/2023 16:15,36.06,13647.0,Germany,0.37,404.52,Cash,Store_B,Category_C,BIRMZ,RLPAR
GEDFJP,FLOFE,DNGXZSHZGYGJRGOMGEKR,458,12/26/2023 23:05,26.3,,Belgium,0.38,94.04,Credit Card,Store_B,Category_C,ZOVAN,CUHEF
ZLLWAV,VRPBH,YELVCHRESJDWVNRSLXXT,326,06/11/2023 22:24,391.47,,Germany,0.05,173.84,Credit Card,Store_A,Category_C,YXFOI,FNGZJ
RFEOAL,,AJHDAKTLFZAEXGRYXUEO,889,09/18/2023 20:53,62.47,18362.0,Netherlands,0.23,282.03,Online,Store_A,Category_B,SAHYA,UVNVU
GIGIPL,HAPLM,CDUXANJBVZXIVKHOEXTT,34,11/23/2023 15:16,41.76,11955.0,France,0.07,293.64,Online,Store_C,Category_C,BMYBF,YWOEM
LVAWWP,ZBJAY,XCXYDGQXCANWBZOSCPVP,517,01/07/2023 20:01,80.92,14696.0,Netherlands,0.26,280.28,Credit Card,Store_A,Category_B,HZIHH,KMEOK
RAPHFK,VFRIB,STLOPONNLPNPINXNWZOU,304,09/18/2023 21:11,79.04,13417.0,France,0.42,451.94,Cash,Store_A,Category_A,YUDAM,NIPIZ
LHJRYF,HWILZ,IVOIQOKZAUFBOLWSZVWC,481,08/08/2023 11:29,58.82,,Belgium,0.17,149.25,Online,Store_B,Category_C,AVDRZ,CPVKK
XEAHFC,PGTEE,MDNYVDLUQWTYCWOOTNXP,1464,04/10/2023 10:16,4.6,16244.0,United Kingdom,0.41,157.36,Online,Store_C,Category_C,LTIGI,JELFN
MRNBNE,GLFSD,ENWNYWCLPGRCNXPKAJMS,436,05/24/2023 23:46,16.53,17472.0,United Kingdom,0.17,60.62,Cash,Store_C,Category_A,RIZJN,PVEDL
YBTWFD,JJJOI,CLBYOMKQUOTLNJSKMSUU,3413,10/26/2023 14:45,30.68,,Germany,0.37,35.9,Online,Store_A,Category_C,BFHJU,QTJYA
,RTNUH,WYQRVNYULZAWIXPLHPQF,920,04/30/2023 04:52,96.76,12002.0,United Kingdom,0.25,114.74,Credit Card,Store_A,Category_C,,
LKGHVS,JYFHB,PZTFCNKAMGWWMUKRRLMN,134,04/30/2023 11:45,51.12,19002.0,Germany,0.49,265.03,Cash,Store_C,Category_A,DMDGF,OCAMQ
ZTLTPP,OVLVI,CWHHGFGGTTAXZDTSBHKG,200,03/12/2023 00:22,62.83,,Netherlands,0.25,139.88,Cash,Store_B,Category_C,EZQHP,UJAOB
,MODGN,QJPSLBNKYUESZQUCLXYM,914,10/14/2023 03:16,57.35,,Belgium,0.24,53.97,Online,Store_C,Category_B,XSBWR,WZYLA
SAIKUN,QWVMY,AKCRCVMADSDOVQYJASLJ,232,04/07/2023 12:07,17.24,10034.0,France,0.19,366.06,Cash,Store_A,Category_A,EUWHX,ZBKOA
VARYQX,ZUCUE,LUUUVUBQZCRDSHRKDHLU,653,10/18/2023 00:33,50.79,13840.0,Netherlands,0.04,347.98,Cash,Store_B,Category_A,DSNLG,CBFXF
XDADGT,COUZM,FFCIRMXOAITVMLOHDPMC,433,05/31/2023 02:54,45.67,19156.0,United Kingdom,0.11,324.32,Credit Card,Store_C,Category_B,HAGPY,
JTTBEZ,MSKWT,APUJKYXVZSQHFZNQJQQM,438,12/19/2023 04:11,87.71,14428.0,Germany,0.1,115.76,Online,Store_C,Category_C,XWIHH,YHDLC
VWZUGN,,ZBKRTNSYLONYWBLEUOJU,93,05/19/2023 02:36,37.98,13578.0,France,0.41,218.75,Online,Store_B,Category_B,ALNDZ,NMPVD
DXPHFV,CSJXG,CBFQGORTJAANRMWAGWPH,625,03/01/2023 07:46,58.68,,Germany,0.32,312.25,Cash,Store_B,Category_A,RBVBQ,RMOCH
JKRIOI,GGMSA,VXZMOMVJLAEGPLMNRFSA,68,02/02/2023 02:34,19.74,17382.0,Germany,0.07,225.51,Online,Store_C,Category_C,,QXIPK
